input_power,day_active_power_peak,accumulated_yield_energy,active_power,daily_yield_energy,power_meter_active_power,grid_accumulated_energy,grid_exported_energy,storage_state_of_capacity,storage_charge_discharge_power,system_time,local_time,sampling_duration
5755,7769,6832.02,5759,7.67,6590,854.08,5857.41,95.0,0,2022-08-23 12:29:14+00:00,2022-08-23T13:29:20.703516,11.5
5793,7769,6832.13,5793,7.78,6748,854.08,5857.54,95.0,0,2022-08-23 12:30:26+00:00,2022-08-23T13:30:31.737980,11.0
5813,7769,6832.24,5813,7.89,6785,854.08,5857.66,95.0,0,2022-08-23 12:31:37+00:00,2022-08-23T13:31:41.671089,9.9
5811,7769,6832.36,5811,8.01,6760,854.08,5857.79,95.0,0,2022-08-23 12:32:46+00:00,2022-08-23T13:32:51.809608,10.1
5866,7769,6832.47,5876,8.12,6856,854.08,5857.93,95.0,0,2022-08-23 12:33:55+00:00,2022-08-23T13:34:01.298899,9.4
5987,7769,6832.59,5926,8.24,6686,854.08,5858.08,95.0,0,2022-08-23 12:35:11+00:00,2022-08-23T13:35:17.339518,16.0
4658,7769,6832.7,4711,8.35,5347,854.08,5858.18,95.0,0,2022-08-23 12:36:21+00:00,2022-08-23T13:36:27.100561,9.7
5512,7769,6832.8,5524,8.45,6357,854.08,5858.31,95.0,0,2022-08-23 12:37:30+00:00,2022-08-23T13:37:36.675289,9.5
6047,7769,6832.91,6047,8.56,7017,854.08,5858.43,95.0,0,2022-08-23 12:38:43+00:00,2022-08-23T13:38:50.136720,13.5
5379,7769,6833.03,5379,8.68,6975,854.08,5858.58,95.0,0,2022-08-23 12:39:53+00:00,2022-08-23T13:40:00.353608,10.2
6076,7769,6833.15,6070,8.8,7364,854.08,5858.72,95.0,0,2022-08-23 12:41:05+00:00,2022-08-23T13:41:10.629926,10.2
5916,7769,6833.26,5916,8.91,7151,854.08,5858.87,95.0,0,2022-08-23 12:42:15+00:00,2022-08-23T13:42:21.758365,11.1
5918,7769,6833.38,5919,9.03,7009,854.08,5859.0,95.0,0,2022-08-23 12:43:27+00:00,2022-08-23T13:43:34.069315,12.3
5893,7769,6833.5,5893,9.15,7034,854.08,5859.14,95.0,0,2022-08-23 12:44:40+00:00,2022-08-23T13:44:45.305565,11.2
5917,7769,6833.61,5930,9.26,7059,854.08,5859.29,95.0,0,2022-08-23 12:45:51+00:00,2022-08-23T13:45:56.258965,10.9
5945,7769,6833.73,5934,9.38,6964,854.08,5859.43,95.0,0,2022-08-23 12:47:02+00:00,2022-08-23T13:47:06.686848,10.4
4250,7769,6833.83,4250,9.48,4582,854.08,5859.54,95.0,0,2022-08-23 12:48:10+00:00,2022-08-23T13:48:16.011067,9.3
3092,7769,6833.9,3092,9.55,4515,854.08,5859.62,95.0,0,2022-08-23 12:49:20+00:00,2022-08-23T13:49:25.785617,9.8
2307,7769,6833.97,2194,9.62,2426,854.08,5859.72,95.0,0,2022-08-23 12:50:30+00:00,2022-08-23T13:50:36.785472,10.9
2194,7769,6834.01,2194,9.66,2511,854.08,5859.75,95.0,0,2022-08-23 12:51:39+00:00,2022-08-23T13:51:46.058766,9.2
2563,7769,6834.07,2527,9.72,3001,854.08,5859.83,95.0,0,2022-08-23 12:52:52+00:00,2022-08-23T13:52:59.220127,13.1
1694,7769,6834.12,1663,9.77,1827,854.08,5859.87,95.0,0,2022-08-23 12:54:05+00:00,2022-08-23T13:54:09.854131,10.6
1338,7769,6834.15,1336,9.8,1409,854.08,5859.91,95.0,0,2022-08-23 12:55:14+00:00,2022-08-23T13:55:19.773137,9.9
1247,7769,6834.17,1240,9.82,1300,854.08,5859.93,95.0,0,2022-08-23 12:56:26+00:00,2022-08-23T13:56:30.190228,10.4
1197,7769,6834.19,1197,9.84,1274,854.08,5859.97,95.0,0,2022-08-23 12:57:36+00:00,2022-08-23T13:57:41.453789,11.2
1329,7769,6834.22,1337,9.87,1490,854.08,5859.99,95.0,0,2022-08-23 12:58:45+00:00,2022-08-23T13:58:50.942734,9.4
1607,7769,6834.25,1619,9.9,1852,854.08,5860.02,95.0,0,2022-08-23 12:59:54+00:00,2022-08-23T14:00:00.689199,9.7
1628,7769,6834.28,1630,9.93,1750,854.08,5860.06,95.0,0,2022-08-23 13:01:04+00:00,2022-08-23T14:01:10.420641,9.7
1793,7769,6834.31,1798,9.96,1989,854.08,5860.1,95.0,0,2022-08-23 13:02:18+00:00,2022-08-23T14:02:23.056652,12.6
3228,7769,6834.36,3228,10.01,3369,854.08,5860.14,95.0,0,2022-08-23 13:03:26+00:00,2022-08-23T14:03:32.600360,9.5
1801,7769,6834.4,1801,10.05,1941,854.08,5860.2,95.0,0,2022-08-23 13:04:37+00:00,2022-08-23T14:04:42.090062,9.4
1436,7769,6834.43,1436,10.08,1516,854.08,5860.22,95.0,0,2022-08-23 13:05:46+00:00,2022-08-23T14:05:52.132330,10.0
1580,7769,6834.46,1580,10.11,1846,854.08,5860.25,95.0,0,2022-08-23 13:06:56+00:00,2022-08-23T14:07:02.308584,10.1
