local_time,input_power,day_active_power_peak,active_power,accumulated_yield_energy,daily_yield_energy,grid_voltage_a_phase,b_phase_voltage,c_phase_voltage,power_meter_active_power,grid_frequency,grid_exported_energy,grid_accumulated_energy,storage_state_of_capacity,storage_charge_discharge_power,storage_current_day_charge_capacity,storage_current_day_discharge_capacity,backup_switch_to_off_grid,a_phase_active_power,b_phase_active_power,c_phase_active_power,forward_energy
2022-09-04T19:39:01.203852,0.0,6.354,1.054,7203.4,32.28,227.1,236.3,233.6,-0.033,49.95,6220.35,855.92,86.0,-1.054,8.55,5.85,0.0,0.001,0.001,0.03,12.13875
2022-09-04T19:39:31.748201,0.0,6.354,1.077,7203.41,32.29,228.6,235.6,233.5,-0.004,49.95,6220.35,855.92,86.0,-1.077,8.55,5.85,0.0,0.002,0.001,0.03,12.13875
2022-09-04T19:40:02.260662,0.0,6.354,1.108,7203.42,32.3,227.8,234.8,232.3,0.021,49.95,6220.35,855.92,86.0,-1.108,8.55,5.85,0.0,0.001,0.001,0.029,12.13875
2022-09-04T19:40:32.876951,0.0,6.354,1.078,7203.43,32.31,228.8,234.3,233.6,0.0,49.95,6220.35,855.92,86.0,-1.078,8.55,5.85,0.0,0.002,0.001,0.03,12.13875
2022-09-04T19:41:03.538386,0.0,6.354,1.071,7203.44,32.32,229.1,234.0,233.6,0.0,49.95,6220.35,855.92,86.0,-1.071,8.55,5.91,0.0,0.002,0.001,0.03,12.14
2022-09-04T19:41:34.057513,0.0,6.354,1.064,7203.45,32.33,228.8,233.5,233.6,-0.002,49.95,6220.35,855.92,86.0,-1.064,8.55,5.91,0.0,0.002,0.001,0.03,12.14
2022-09-04T19:42:04.592467,0.0,6.354,1.045,7203.46,32.34,228.3,234.3,234.3,-0.013,49.93,6220.35,855.92,86.0,-1.045,8.55,5.91,0.0,0.002,0.001,0.03,12.14
2022-09-04T19:42:35.113811,0.0,6.354,1.049,7203.47,32.35,229.1,233.1,234.3,0.003,49.93,6220.35,855.92,86.0,-1.049,8.55,5.91,0.0,0.002,0.001,0.03,12.14
2022-09-04T19:43:05.852001,0.0,6.354,1.057,7203.48,32.36,229.6,233.6,233.8,0.0,49.91,6220.35,855.92,86.0,-1.057,8.55,5.91,0.0,0.002,0.001,0.03,12.14
2022-09-04T19:43:36.433749,0.0,6.354,0.977,7203.49,32.37,229.1,233.8,233.8,0.0,49.93,6220.35,855.92,86.0,-0.977,8.55,5.97,0.0,0.001,0.001,0.03,12.14125
2022-09-04T19:44:07.049781,0.0,6.354,0.963,7203.49,32.37,228.8,233.8,232.0,-0.008,49.93,6220.35,855.92,86.0,-0.963,8.55,5.97,0.0,0.002,0.001,0.03,12.14125
2022-09-04T19:44:37.558820,0.0,6.354,0.909,7203.5,32.38,229.8,233.3,233.1,-0.067,49.91,6220.35,855.92,86.0,-0.909,8.55,5.97,0.0,0.002,0.001,0.03,12.14125
2022-09-04T19:45:08.314066,0.0,6.354,1.027,7203.51,32.39,227.3,234.6,234.3,0.025,49.95,6220.35,855.92,86.0,-1.027,8.55,5.97,0.0,0.002,0.001,0.03,12.14125
2022-09-04T19:45:38.795400,0.0,6.354,0.988,7203.52,32.4,228.1,234.6,234.1,-0.032,49.99,6220.35,855.92,86.0,-0.988,8.55,5.97,0.0,0.002,0.001,0.03,12.14125
