input_power,day_active_power_peak,accumulated_yield_energy,active_power,daily_yield_energy,power_meter_active_power,grid_accumulated_energy,grid_exported_energy,storage_state_of_capacity,storage_charge_discharge_power,system_time,local_time,sampling_duration
3630,1997,6852.63,-1062,1.5,132,854.16,5874.97,85.0,4695,2022-08-24 08:25:09+00:00,2022-08-24T09:25:13.893842,13.8
3651,1997,6852.63,-1065,1.5,206,854.16,5874.97,85.0,4720,2022-08-24 08:26:18+00:00,2022-08-24T09:26:23.999207,10.1
3664,1997,6852.63,-1070,1.5,203,854.16,5874.97,86.0,4746,2022-08-24 08:27:28+00:00,2022-08-24T09:27:34.011041,10.0
3692,1997,6852.63,-1064,1.5,87,854.16,5874.99,86.0,4763,2022-08-24 08:28:42+00:00,2022-08-24T09:28:48.510137,14.4
3718,1997,6852.63,-1068,1.5,118,854.16,5874.99,86.0,4779,2022-08-24 08:29:52+00:00,2022-08-24T09:29:59.277657,10.8
3739,1997,6852.63,-1064,1.5,130,854.16,5874.99,87.0,4804,2022-08-24 08:31:01+00:00,2022-08-24T09:31:08.774538,9.5
3770,1997,6852.63,-1057,1.5,145,854.16,5874.99,87.0,4847,2022-08-24 08:32:12+00:00,2022-08-24T09:32:18.582469,9.8
3799,1997,6852.63,-1067,1.5,156,854.16,5875.0,87.0,4850,2022-08-24 08:33:22+00:00,2022-08-24T09:33:29.128932,10.5
3816,1997,6852.63,-1067,1.5,241,854.16,5875.0,87.0,4884,2022-08-24 08:34:34+00:00,2022-08-24T09:34:39.529207,10.4
3828,1997,6852.63,-1066,1.5,236,854.16,5875.0,88.0,4895,2022-08-24 08:35:43+00:00,2022-08-24T09:35:48.876023,9.3
3835,1997,6852.63,-1067,1.5,257,854.16,5875.0,88.0,4908,2022-08-24 08:36:56+00:00,2022-08-24T09:37:02.404289,13.5
3868,1997,6852.63,-1064,1.5,184,854.16,5875.02,88.0,4936,2022-08-24 08:38:08+00:00,2022-08-24T09:38:13.393682,10.9
3884,1997,6852.63,-1066,1.5,135,854.16,5875.02,88.0,4947,2022-08-24 08:39:19+00:00,2022-08-24T09:39:24.403577,10.9
3915,1997,6852.63,-1061,1.5,144,854.16,5875.02,89.0,4986,2022-08-24 08:40:28+00:00,2022-08-24T09:40:33.340923,8.9
3921,1997,6852.63,-1065,1.5,148,854.16,5875.02,89.0,4967,2022-08-24 08:41:38+00:00,2022-08-24T09:41:42.635924,9.3
3939,1997,6852.63,-1064,1.5,134,854.16,5875.02,89.0,5004,2022-08-24 08:42:50+00:00,2022-08-24T09:42:53.836371,11.2
3941,1997,6852.63,-1066,1.5,122,854.16,5875.02,89.0,5019,2022-08-24 08:43:59+00:00,2022-08-24T09:44:05.712856,11.9
