input_power,day_active_power_peak,active_power,accumulated_yield_energy,daily_yield_energy,power_meter_active_power,grid_exported_energy,grid_accumulated_energy,storage_state_of_capacity,storage_charge_discharge_power,storage_current_day_charge_capacity,storage_current_day_discharge_capacity,system_time,backup_switch_to_off_grid,local_time,sampling_duration
0,5223,339,6892.86,41.73,3,59120,5223,341,6892.86,41.73,-5,5912.1,854.41,68.0,-341,8.86,12.19,2022-08-24 22:27:36+00:00,00,5223,300,6892.86,41.73,3,5912.0,5223,299,6892.86,41.73,-7,5912.1,854.41,68.0,-298,8.86,12.21,2022-08-24 22:28:40+00:00,0,5223,305,6892.87,41.74,0,5912.10,5223,298,6892.87,41.74,-1,5912.1,854.41,68.0,-298,8.86,12.21,2022-08-24 22:29:44+00:000,5223,319,6892.87,41.74,3,5912.1,0,5223,311,6892.87,41.74,1,5912.1,854.41,68.0,-311,8.86,12.24,2022-08-24 22:30:47+00:000,5223,318,6892.88,41.75,-16,5912.0,5223,316,6892.88,41.75,1,5912.1,854.41,68.0,-316,8.86,12.24,2022-08-24 22:31:51+00:00,00,5223,315,6892.88,41.75,1,5912.0,5223,312,6892.88,41.75,8,5912.1,854.41,68.0,-312,8.86,12.24,2022-08-24 22:32:53+00:00,00,5223,315,6892.89,41.76,3,5912.0,5223,317,6892.89,41.76,-1,5912.1,854.41,68.0,-317,8.86,12.27,2022-08-24 22:33:56+00:00,0,5223,287,6892.89,41.76,-15,59120,5223,287,6892.9,41.77,2,5912.1,854.41,68.0,-287,8.86,12.27,2022-08-24 22:35:00+00:00,0,20,5223,227,6892.9,41.77,-2,5910,5223,228,6892.9,41.77,0,5912.1,854.41,68.0,-228,8.86,12.27,2022-08-24 22:36:02+00:00,0,200,5223,228,6892.9,41.77,1,5910,5223,227,6892.9,41.77,-3,5912.1,854.41,68.0,-227,8.86,12.29,2022-08-24 22:37:05+00:00,0,20,5223,235,6892.91,41.78,0,5910,5223,231,6892.91,41.78,2,5912.1,854.41,68.0,-231,8.86,12.29,2022-08-24 22:38:09+00:00,0,20,5223,231,6892.91,41.78,-4,590,5223,234,6892.91,41.78,-79,5912.1,854.41,68.0,-234,8.86,12.29,2022-08-24 22:39:12+00:00,0,0,5223,416,6892.92,41.79,-21,590,5223,405,6892.92,41.79,7,5912.1,854.41,68.0,-410,8.86,12.31,2022-08-24 22:40:15+00:00,0,200,5223,399,6892.93,41.79,2,590,5223,403,6892.93,41.8,-3,5912.1,854.41,68.0,-399,8.86,12.31,2022-08-24 22:41:19+00:00,0,200,5223,395,6892.93,41.8,5,5910,5223,392,6892.93,41.8,-30,5912.1,854.41,68.0,-392,8.86,12.34,2022-08-24 22:42:23+00:00,0,0,5223,256,6892.94,41.81,-1,5910,5223,226,6892.94,41.81,-1,5912.1,854.41,68.0,-226,8.86,12.34,2022-08-24 22:43:25+00:00,0,0,5223,192,6892.94,41.81,32,5910,5223,77,6892.94,41.81,-4,5912.1,854.41,68.0,-77,8.86,12.34,2022-08-24 22:44:28+00:00,0,200,5223,74,6892.94,41.81,1,5910,5223,74,6892.94,41.81,-2,5912.1,854.41,68.0,-74,8.86,12.36,2022-08-24 22:45:32+00:00,0,20,5223,74,6892.94,41.81,1,59120,5223,77,6892.94,41.81,3,5912.1,854.41,68.0,-74,8.86,12.36,2022-08-24 22:46:34+00:00,0,20,5223,74,6892.95,41.82,-1,5910,5223,78,6892.95,41.82,0,5912.1,854.41,68.0,-78,8.86,12.36,2022-08-24 22:47:37+00:00,0,200,5223,73,6892.95,41.82,0,5910,5223,74,6892.95,41.82,2,5912.1,854.41,68.0,-74,8.86,12.37,2022-08-24 22:48:41+00:00,0,202022-08-24T23:49:47.091519,9.0,0,5223,74,6892.95,41.82,-1,2022-08-24T23:50:49.765056,2.6
0,5223,76,6892.95,41.82,1,5912.1,854.41,67.0,-72,8.86,12.38,2022-08-24 22:51:48+00:00,0,2022-08-24T23:51:52.993880,3.2
0,5223,77,6892.95,41.82,-1,5912.1,854.41,67.0,-77,8.86,12.39,2022-08-24 22:52:52+00:00,0,2022-08-24T23:52:56.109224,3.1
0,5223,73,6892.95,41.82,0,5912.1,854.41,67.0,-73,8.86,12.39,2022-08-24 22:53:54+00:00,0,2022-08-24T23:53:59.264874,3.1
0,5223,76,6892.96,41.83,0,5912.1,854.41,67.0,-76,8.86,12.39,2022-08-24 22:54:58+00:00,0,2022-08-24T23:55:02.271476,2.9
0,5223,75,6892.96,41.83,0,5912.1,854.41,67.0,-75,8.86,12.41,2022-08-24 22:56:01+00:00,0,2022-08-24T23:56:05.511017,3.2
0,5223,162,6892.96,41.83,-5,5912.1,854.41,67.0,-176,8.86,12.41,2022-08-24 22:57:05+00:00,2022-08-24T23:57:08.767586,3.2
0,5223,174,6892.96,41.83,1,5912.1,854.41,67.0,-174,8.86,12.41,2022-08-24 22:58:07+00:00,2022-08-24T23:58:12.022108,3.2
0,5223,169,6892.96,41.83,0,5912.1,854.41,67.0,-169,8.86,12.41,2022-08-24 22:59:11+00:00,2022-08-24T23:59:15.177514,3.1
0,170,169,6892.97,0.0,0,5912.1,854.41,67.0,-169,0.0,2022-08-25T00:00:18.161748,2.9
