Total input power,Load power,Grid power,Total battery power,Total active power,Input power,Peak active power of current day,Active power,Accumulated energy yield,Daily energy yield,[Power meter collection] Active power,Positive active electricity,Reverse active power,[Energy storage] SOC,[Energy storage] Charge/Discharge power,[Energy storage] Current-day charge capacity,[Energy storage] Current-day discharge capacity,System time,[Backup] Switch to off-grid
0.0,0.219,0.0,-0.219,-0.219,0.0,0.395,0.226,6918.71,0.08,1.0,5934.1,854.52,66.0,-223.0,0.0,0.14,1661473074.0,0.0
0.0,0.226,0.0,-0.226,-0.226,0.0,0.395,0.226,6918.72,0.09,-2.0,5934.1,854.52,66.0,-224.0,0.0,0.16,1661473146.0,0.0
0.0,0.318,0.0,-0.318,-0.318,0.0,0.395,0.317,6918.72,0.09,-1.0,5934.1,854.52,66.0,-319.0,0.0,0.16,1661473216.0,0.0
0.0,0.319,0.002,-0.317,-0.317,0.0,0.395,0.319,6918.73,0.1,0.0,5934.1,854.52,66.0,-318.0,0.0,0.16,1661473288.0,0.0
0.0,0.319,0.0,-0.319,-0.319,0.0,0.395,0.286,6918.74,0.11,12.0,5934.1,854.52,66.0,-224.0,0.0,0.18,1661473357.0,0.0
0.0,0.229,-0.001,-0.23,-0.23,0.0,0.395,0.153,6918.74,0.11,-27.0,5934.1,854.52,66.0,-179.0,0.0,0.18,1661473426.0,0.0
0.0,0.142,0.001,-0.141,-0.141,0.0,0.395,0.143,6918.74,0.11,-1.0,5934.1,854.52,66.0,-145.0,0.0,0.2,1661473497.0,0.0
0.0,0.139,0.002,-0.137,-0.137,0.0,0.395,0.137,6918.75,0.12,1.0,5934.1,854.52,66.0,-137.0,0.0,0.2,1661473569.0,0.0
0.0,0.132,0.0,-0.132,-0.132,0.0,0.395,0.133,6918.75,0.12,-36.0,5934.1,854.52,66.0,-221.0,0.0,0.22,1661473640.0,0.0
0.0,0.245,0.001,-0.244,-0.244,0.0,0.395,0.236,6918.75,0.12,1.0,5934.1,854.52,66.0,-233.0,0.0,0.22,1661473713.0,0.0
0.0,0.233,0.0,-0.233,-0.233,0.0,0.395,0.227,6918.76,0.13,4.0,5934.1,854.52,66.0,-229.0,0.0,0.22,1661473781.0,0.0
0.0,0.228,0.0,-0.228,-0.228,0.0,0.395,0.224,6918.76,0.13,0.0,5934.1,854.52,66.0,-225.0,0.0,0.24,1661473850.0,0.0
0.0,0.222,0.0,-0.222,-0.222,0.0,0.395,0.226,6918.77,0.14,0.0,5934.1,854.52,66.0,-222.0,0.0,0.24,1661473920.0,0.0
0.0,0.225,0.0,-0.225,-0.225,0.0,0.395,0.137,6918.77,0.14,-2.0,5934.1,854.52,65.0,-131.0,0.0,0.26,1661473989.0,0.0
0.0,0.137,0.001,-0.136,-0.136,0.0,0.395,0.133,6918.77,0.14,0.0,5934.1,854.52,65.0,-135.0,0.0,0.26,1661474058.0,0.0
