total_input_power,load_power,grid_power,total_battery_power,total_active_power,input_power,day_active_power_peak,active_power,accumulated_yield_energy,daily_yield_energy,power_meter_active_power,grid_exported_energy,grid_accumulated_energy,storage_state_of_capacity,storage_charge_discharge_power,storage_current_day_charge_capacity,storage_current_day_discharge_capacity,system_time,backup_switch_to_off_grid
0.986,0.292,-0.694,0.0,0.0,0.71,6.308,0.71,6991.25,10.85,683.0,5999.2,854.76,95.0,0.0,12.43,2.76,1661701140.0,0.0
1.038,0.236,-0.802,0.0,0.0,0.757,6.308,0.757,6991.27,10.87,803.0,5999.22,854.76,95.0,0.0,12.43,2.76,1661701261.0,0.0
1.074,0.248,-0.826,0.0,0.0,0.774,6.308,0.774,6991.28,10.88,820.0,5999.24,854.76,95.0,0.0,12.43,2.76,1661701319.0,0.0
1.063,0.234,-0.829,0.0,0.0,0.788,6.308,0.788,6991.3,10.9,807.0,5999.25,854.76,95.0,0.0,12.43,2.76,1661701378.0,0.0
1.095,0.194,-0.901,0.0,0.0,0.787,6.308,0.787,6991.31,10.91,898.0,5999.27,854.76,95.0,0.0,12.43,2.76,1661701437.0,0.0
1.12,0.183,-0.937,0.0,0.0,0.808,6.308,0.808,6991.35,10.95,936.0,5999.31,854.76,95.0,0.0,12.43,2.76,1661701621.0,0.0
1.142,0.188,-0.954,0.0,0.0,0.822,6.308,0.822,6991.36,10.96,955.0,5999.33,854.76,95.0,0.0,12.43,2.76,1661701679.0,0.0
1.153,0.188,-0.965,0.0,0.0,0.84,6.308,0.84,6991.38,10.98,973.0,5999.33,854.76,95.0,0.0,12.43,2.76,1661701739.0,0.0
1.196,0.191,-1.005,0.0,0.0,0.87,6.308,0.87,6991.42,11.02,1009.0,5999.39,854.76,95.0,0.0,12.43,2.76,1661701922.0,0.0
1.208,0.192,-1.016,0.0,0.0,0.88,6.308,0.88,6991.44,11.04,919.0,5999.41,854.76,95.0,0.0,12.43,2.76,1661701979.0,0.0
1.247,0.286,-0.961,0.0,0.0,0.902,6.308,0.902,6991.45,11.05,959.0,5999.43,854.76,95.0,0.0,12.43,2.76,1661702039.0,0.0
1.342,0.28,-1.062,0.0,0.0,0.997,6.308,0.997,6991.5,11.1,1109.0,5999.47,854.76,95.0,0.0,12.43,2.76,1661702220.0,0.0
1.405,0.271,-1.134,0.0,0.0,1.026,6.308,1.026,6991.51,11.11,1131.0,5999.5,854.76,95.0,0.0,12.43,2.76,1661702280.0,0.0
1.432,0.251,-1.181,0.0,0.0,1.035,6.308,1.035,6991.53,11.13,1170.0,5999.52,854.76,95.0,0.0,12.43,2.76,1661702339.0,0.0
1.349,0.244,-1.105,0.0,0.0,0.979,6.308,0.979,6991.58,11.18,1103.0,5999.56,854.76,95.0,0.0,12.43,2.76,1661702521.0,0.0
1.352,0.256,-1.096,0.0,0.0,0.959,6.308,0.959,6991.6,11.2,1075.0,5999.58,854.76,95.0,0.0,12.43,2.76,1661702579.0,0.0
1.312,0.255,-1.057,0.0,0.0,0.934,6.308,0.934,6991.61,11.21,1036.0,5999.6,854.76,95.0,0.0,12.43,2.76,1661702638.0,0.0
1.207,0.255,-0.952,0.0,0.0,0.865,6.308,0.865,6991.66,11.26,953.0,5999.66,854.76,95.0,0.0,12.43,2.76,1661702822.0,0.0
1.203,0.255,-0.948,0.0,0.0,0.853,6.308,0.853,6991.67,11.27,930.0,5999.66,854.76,95.0,0.0,12.43,2.76,1661702878.0,0.0
1.178,0.25,-0.928,0.0,0.0,0.834,6.308,0.834,6991.69,11.29,906.0,5999.68,854.76,95.0,0.0,12.43,2.76,1661702940.0,0.0
1.157,0.258,-0.899,0.0,0.0,0.83,6.308,0.83,6991.7,11.3,908.0,5999.7,854.76,95.0,0.0,12.43,2.76,1661703003.0,0.0
1.169,0.252,-0.917,0.0,0.0,0.839,6.308,0.839,6991.71,11.31,421.0,5999.72,854.76,95.0,0.0,12.43,2.76,1661703062.0,0.0
1.163,0.619,-0.544,0.0,0.0,0.83,6.308,0.83,6991.73,11.33,795.0,5999.72,854.76,95.0,0.0,12.43,2.76,1661703121.0,0.0
1.142,0.351,-0.791,0.0,0.0,0.82,6.308,0.82,6991.74,11.34,795.0,5999.74,854.76,95.0,0.0,12.43,2.76,1661703179.0,0.0
1.148,0.573,-0.575,0.0,0.0,0.823,6.308,0.823,6991.76,11.36,807.0,5999.75,854.76,95.0,0.0,12.43,2.76,1661703238.0,0.0
1.152,0.345,-0.807,0.0,0.0,0.833,6.308,0.833,6991.77,11.37,831.0,5999.77,854.76,95.0,0.0,12.43,2.76,1661703299.0,0.0
1.181,0.343,-0.838,0.0,0.0,0.865,6.308,0.865,6991.78,11.38,863.0,5999.77,854.76,95.0,0.0,12.43,2.76,1661703359.0,0.0
1.232,0.209,-1.023,0.0,0.0,0.898,6.308,0.898,6991.8,11.4,1030.0,5999.79,854.76,95.0,0.0,12.43,2.76,1661703418.0,0.0
1.236,0.195,-1.041,0.0,0.0,0.914,6.308,0.914,6991.81,11.41,1059.0,5999.81,854.76,95.0,0.0,12.43,2.76,1661703478.0,0.0
1.247,0.179,-1.068,0.0,0.0,0.927,6.308,0.927,6991.83,11.43,1077.0,5999.83,854.76,95.0,0.0,12.43,2.76,1661703540.0,0.0
1.374,0.194,-1.18,0.0,0.0,1.005,6.308,1.005,6991.88,11.48,1188.0,5999.89,854.76,95.0,0.0,12.43,2.76,1661703722.0,0.0
1.413,0.207,-1.206,0.0,0.0,1.029,6.308,1.029,6991.89,11.49,1215.0,5999.91,854.76,95.0,0.0,12.43,2.76,1661703779.0,0.0
1.425,0.204,-1.221,0.0,0.0,1.048,6.308,1.048,6991.91,11.51,1238.0,5999.93,854.76,95.0,0.0,12.43,2.76,1661703839.0,0.0
1.445,0.215,-1.23,0.0,0.0,1.029,6.308,1.029,6991.95,11.55,1221.0,5999.97,854.76,95.0,0.0,12.43,2.76,1661703961.0,0.0
1.424,0.211,-1.213,0.0,0.0,1.022,6.308,1.022,6991.96,11.56,1201.0,5999.99,854.76,95.0,0.0,12.43,2.76,1661704020.0,0.0
1.417,0.207,-1.21,0.0,0.0,1.019,6.308,1.019,6991.98,11.58,1206.0,6000.0,854.76,95.0,0.0,12.43,2.76,1661704078.0,0.0
1.413,0.203,-1.21,0.0,0.0,1.029,6.308,1.029,6992.0,11.6,1213.0,6000.02,854.76,95.0,0.0,12.43,2.76,1661704138.0,0.0
1.534,0.231,-1.303,0.0,0.0,1.125,6.308,1.125,6992.05,11.65,1286.0,6000.08,854.76,95.0,0.0,12.43,2.76,1661704322.0,0.0
1.585,0.252,-1.333,0.0,0.0,0.962,6.308,0.962,6992.07,11.67,1170.0,6000.1,854.76,95.0,0.0,12.43,2.76,1661704378.0,0.0
1.473,0.226,-1.247,0.0,0.0,1.158,6.308,1.158,6992.09,11.69,1460.0,6000.12,854.76,95.0,0.0,12.43,2.76,1661704440.0,0.0
1.847,0.147,-1.7,0.0,0.0,2.316,6.308,2.316,6992.13,11.73,2880.0,6000.18,854.76,95.0,0.0,12.43,2.76,1661704561.0,0.0
1.788,0.147,-1.641,0.0,0.0,1.224,6.308,1.224,6992.16,11.76,1609.0,6000.22,854.76,95.0,0.0,12.44,2.76,1661704619.0,0.0
1.723,0.157,-1.566,0.0,0.0,1.178,6.308,1.178,6992.18,11.78,1557.0,6000.25,854.76,95.0,0.0,12.44,2.76,1661704679.0,0.0
1.695,0.153,-1.542,0.0,0.0,1.361,6.308,1.361,6992.2,11.8,1735.0,6000.29,854.76,95.0,0.0,12.44,2.76,1661704739.0,0.0
4.103,0.155,-3.948,0.0,0.0,1.654,6.308,1.654,6992.31,11.91,2043.0,6000.43,854.76,95.0,0.0,12.45,2.76,1661704922.0,0.0
2.101,0.138,-1.963,0.0,0.0,1.527,6.308,1.527,6992.34,11.94,1939.0,6000.45,854.76,95.0,0.0,12.45,2.76,1661704978.0,0.0
2.042,0.154,-1.888,0.0,0.0,1.464,6.308,1.464,6992.36,11.96,1863.0,6000.49,854.76,95.0,0.0,12.45,2.76,1661705038.0,0.0
2.004,0.184,-1.82,0.0,0.0,1.443,6.308,1.443,6992.41,12.01,1816.0,6000.54,854.76,95.0,0.0,12.45,2.76,1661705159.0,0.0
2.01,0.18,-1.83,0.0,0.0,1.464,6.308,1.464,6992.43,12.03,1815.0,6000.58,854.76,95.0,0.0,12.45,2.76,1661705218.0,0.0
2.027,0.202,-1.825,0.0,0.0,1.485,6.308,1.485,6992.46,12.06,1734.0,6000.6,854.76,95.0,0.0,12.45,2.76,1661705276.0,0.0
2.073,0.301,-1.772,0.0,0.0,1.507,6.308,1.507,6992.48,12.08,1782.0,6000.64,854.76,95.0,0.0,12.45,2.76,1661705339.0,0.0
2.163,0.353,-1.81,0.0,0.0,1.574,6.308,1.574,6992.56,12.16,1815.0,6000.72,854.76,95.0,0.0,12.45,2.76,1661705523.0,0.0
2.212,0.318,-1.894,0.0,0.0,1.596,6.308,1.596,6992.59,12.19,1898.0,6000.75,854.76,95.0,0.0,12.45,2.76,1661705579.0,0.0
2.216,0.311,-1.905,0.0,0.0,1.627,6.308,1.627,6992.61,12.21,1976.0,6000.79,854.76,95.0,0.0,12.45,2.76,1661705639.0,0.0
2.324,0.273,-2.051,0.0,0.0,1.687,6.308,1.687,6992.67,12.27,2062.0,6000.85,854.76,95.0,0.0,12.45,2.76,1661705761.0,0.0
2.354,0.292,-2.062,0.0,0.0,1.702,6.308,1.702,6992.7,12.3,2070.0,6000.89,854.76,95.0,0.0,12.45,2.76,1661705818.0,0.0
2.355,0.273,-2.082,0.0,0.0,1.715,6.308,1.715,6992.73,12.33,2086.0,6000.93,854.76,95.0,0.0,12.45,2.76,1661705880.0,0.0
2.346,0.278,-2.068,0.0,0.0,1.694,6.308,1.694,6992.76,12.35,2060.0,6000.97,854.76,95.0,0.0,12.45,2.76,1661705942.0,0.0
2.183,0.273,-1.91,0.0,0.0,1.578,6.308,1.578,6992.81,12.41,1895.0,6001.02,854.76,95.0,0.0,12.45,2.76,1661706061.0,0.0
2.108,0.273,-1.835,0.0,0.0,1.529,6.308,1.529,6992.83,12.43,1827.0,6001.06,854.76,95.0,0.0,12.45,2.76,1661706119.0,0.0
2.074,0.271,-1.803,0.0,0.0,1.486,6.308,1.486,6992.86,12.46,1783.0,6001.08,854.76,95.0,0.0,12.45,2.76,1661706180.0,0.0
2.01,0.26,-1.75,0.0,0.0,1.459,6.308,1.459,6992.88,12.48,1742.0,6001.12,854.76,95.0,0.0,12.45,2.76,1661706239.0,0.0
1.895,0.338,-1.557,0.0,0.0,1.38,6.308,1.38,6992.96,12.56,1543.0,6001.2,854.76,95.0,0.0,12.45,2.76,1661706421.0,0.0
1.881,0.348,-1.533,0.0,0.0,1.363,6.308,1.363,6992.98,12.58,1521.0,6001.22,854.76,95.0,0.0,12.45,2.76,1661706480.0,0.0
1.847,0.329,-1.518,0.0,0.0,1.346,6.308,1.346,6993.0,12.6,1502.0,6001.25,854.76,95.0,0.0,12.45,2.76,1661706540.0,0.0
1.734,0.267,-1.467,0.0,0.0,1.223,6.308,1.223,6993.07,12.67,1425.0,6001.33,854.76,95.0,0.0,12.45,2.76,1661706721.0,0.0
1.618,0.267,-1.351,0.0,0.0,1.164,6.308,1.164,6993.09,12.69,1344.0,6001.35,854.76,95.0,0.0,12.45,2.76,1661706779.0,0.0
1.523,0.253,-1.27,0.0,0.0,1.101,6.308,1.101,6993.1,12.7,1258.0,6001.37,854.76,95.0,0.0,12.45,2.76,1661706838.0,0.0
1.331,0.254,-1.077,0.0,0.0,0.963,6.308,0.963,6993.16,12.75,1077.0,6001.43,854.76,95.0,0.0,12.45,2.76,1661707019.0,0.0
