date,t_hs,t_hs_set,water_pressure,t_dhw,t_dhw_set,t_return,flow_rate,status_pump,runtime_comp,runtime_pump,posmix,qboh,qchhp,qsc,qch,qwp,qdhw,tvbh2,tliq2,tr2,ta2,tdhw2,mode,pump,ehs,bpv,t_v1,t_dhw1,t_vbh,t_outdoor_ot1,t_r1,v1,heat_slope,t_dhw_setpoint1,t_dhw_setpoint2,t_dhw_setpoint3,hyst_hp,t_ext,t_hc_set,t_hc,duration
2023-01-02 21:07:18.029700,29.7,0.0,1.242,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.5,14.5,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.7,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.8,0:00:08.462178
2023-01-02 21:07:48.311878,29.7,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.2,14.5,21.5,40.0,46.1,0,0,0,100,29.7,46.1,31.1,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,31.1,0:00:08.258306
2023-01-02 21:08:18.769995,29.7,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.9,14.5,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.8,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.7,0:00:08.434232
2023-01-02 21:08:49.276019,29.7,0.0,1.24,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.7,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.7,0:00:08.482160
2023-01-02 21:09:20.038079,29.7,0.0,1.242,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.9,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.9,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,31.0,0:00:08.738480
2023-01-02 21:09:51.535924,29.7,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.5,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.7,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.6,0:00:09.473910
2023-01-02 21:10:22.073956,29.7,0.0,1.242,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.0,14.3,21.5,40.0,46.1,0,0,0,100,29.7,46.1,31.0,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,31.1,0:00:09.515467
2023-01-02 21:10:54.835561,29.7,0.0,1.238,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.8,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.9,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.9,0:00:11.738796
2023-01-02 21:11:28.285093,29.7,0.0,1.238,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.8,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.8,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.8,0:00:14.429770
2023-01-02 21:11:58.279229,29.7,0.0,1.239,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.9,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,31.0,0:00:13.988770
