date,t_hs,t_hs_set,water_pressure,t_dhw,t_dhw_set,t_return,flow_rate,status_pump,runtime_comp,runtime_pump,posmix,qboh,qch,qwp,qdhw,tvbh2,tliq2,tr2,mode,pump,ehs,bpv,t_vbh,t_r1,v1,total_energy,t_ext,t_hc_set,t_hc,duration
2023-01-03 01:04:06.344527,29.0,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.9,14.0,20.5,0,0,0,100,29.9,20.5,0,3006,10.0,42.0,29.9,0:00:03.256060
2023-01-03 01:04:35.378967,29.0,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.9,14.0,20.5,0,0,0,100,29.9,20.5,0,3006,10.0,42.0,29.9,0:00:02.005240
2023-01-03 01:05:05.405277,29.0,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.2,14.0,20.5,0,0,0,100,30.2,20.5,0,3006,10.0,42.0,30.2,0:00:01.998125
2023-01-03 01:05:35.431540,29.0,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.7,14.0,20.5,0,0,0,100,29.7,20.5,0,3006,10.0,42.0,29.6,0:00:01.996005
2023-01-03 01:06:05.457817,29.0,0.0,1.24,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.1,14.0,20.5,0,0,0,100,30.1,20.5,0,3006,10.0,42.0,30.1,0:00:01.996370
2023-01-03 01:06:35.612054,29.0,0.0,1.236,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.2,14.0,20.5,0,0,0,100,30.1,20.5,0,3006,10.0,42.0,30.1,0:00:02.125434
2023-01-03 01:07:05.814373,29.0,0.0,1.236,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.8,14.0,20.5,0,0,0,100,29.8,20.5,0,3006,10.0,42.0,29.8,0:00:02.172381
2023-01-03 01:07:36.032534,29.0,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.1,14.0,20.5,0,0,0,100,30.0,20.5,0,3006,10.0,42.0,30.0,0:00:02.187732
2023-01-03 01:08:08.890161,None,None,None,None,None,None,None,0,1702,2787,0,13,8420,11229,2843,29.9,14.0,20.5,0,0,0,100,30.0,20.5,0,3006,10.0,42.0,30.0,0:00:04.828759
2023-01-03 01:08:38.804448,29.0,0.0,1.239,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.8,14.0,20.5,0,0,0,100,29.8,20.5,0,3006,10.0,42.0,30.0,0:00:03.886130
2023-01-03 01:09:09.694555,29.0,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.6,14.0,20.5,0,0,0,100,30.6,20.5,0,3006,10.0,42.0,30.7,0:00:03.860883
2023-01-03 01:09:40.584607,29.0,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.3,14.0,20.5,0,0,0,100,30.2,20.5,0,3006,10.0,42.0,30.2,0:00:03.860957
2023-01-03 01:10:11.474575,28.9,0.0,1.243,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.8,14.0,20.5,0,0,0,100,29.8,20.5,0,3006,10.0,42.0,29.8,0:00:03.861133
2023-01-03 01:10:42.396659,28.9,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.9,14.0,20.5,0,0,0,100,29.9,20.5,0,3006,10.0,42.0,29.9,0:00:03.893869
2023-01-03 01:11:13.590635,29.0,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.2,14.0,20.5,0,0,0,100,30.2,20.5,0,3006,10.0,42.0,30.3,0:00:04.164989
2023-01-03 01:11:45.456322,29.0,0.0,1.239,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.0,14.0,20.5,0,0,0,100,30.0,20.5,0,3006,10.0,42.0,30.0,0:00:05.837692
2023-01-03 01:12:17.578265,29.0,0.0,1.24,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.7,14.0,20.5,0,0,0,100,29.7,20.5,0,3006,10.0,42.0,29.7,0:00:07.094812
2023-01-03 01:12:47.492522,29.0,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.8,14.0,20.5,0,0,0,100,29.9,20.5,0,3006,10.0,42.0,30.0,0:00:06.889253
2023-01-03 01:13:18.430675,29.0,0.0,1.239,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.8,14.0,20.5,0,0,0,100,29.8,20.5,0,3006,10.0,42.0,29.7,0:00:06.912182
2023-01-03 01:13:49.368557,29.0,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.7,14.0,20.5,0,0,0,100,29.7,20.5,0,3006,10.0,42.0,29.7,0:00:06.911451
2023-01-03 01:14:20.722456,29.0,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.6,14.0,20.5,0,0,0,100,29.6,20.5,0,3006,10.0,42.0,29.6,0:00:07.328680
2023-01-03 01:14:51.004555,29.0,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.8,14.0,20.5,0,0,0,100,29.8,20.5,0,3006,10.0,42.0,29.8,0:00:07.257132
2023-01-03 01:15:21.446666,29.0,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.7,14.0,20.5,0,0,0,100,29.9,20.5,0,3006,10.0,42.0,30.0,0:00:07.418158
2023-01-03 01:15:51.776914,29.0,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.7,14.0,20.5,0,0,0,100,29.8,20.5,0,3006,10.0,42.0,29.9,0:00:07.305389
2023-01-03 01:16:22.714906,29.0,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.6,14.0,20.5,0,0,0,100,29.7,20.5,0,3006,10.0,42.0,29.6,0:00:07.912931
2023-01-03 01:16:52.933090,29.0,0.0,1.24,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.6,14.0,20.5,0,0,0,100,29.6,20.5,0,3006,10.0,42.0,29.6,0:00:07.193249
2023-01-03 01:17:23.150762,29.0,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.7,14.0,20.5,0,0,0,100,29.6,20.5,0,3006,10.0,42.0,29.6,0:00:07.193417
2023-01-03 01:17:53.448754,29.0,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.2,14.0,20.5,0,0,0,100,29.2,20.5,0,3006,10.0,42.0,29.2,0:00:07.273095
2023-01-03 01:18:23.698790,28.9,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.4,14.0,20.5,0,0,0,100,29.5,20.5,0,3006,10.0,42.0,29.5,0:00:07.225071
2023-01-03 01:18:53.948921,28.9,0.0,1.241,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.4,14.0,20.5,0,0,0,100,29.4,20.5,0,3006,10.0,42.0,29.4,0:00:07.225123
2023-01-03 01:19:24.151101,28.9,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.5,14.0,20.5,0,0,0,100,29.5,20.5,0,3006,10.0,42.0,29.5,0:00:07.177217
2023-01-03 01:19:54.465268,28.9,0.0,1.236,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.7,14.0,20.5,0,0,0,100,29.7,20.5,0,3006,10.0,42.0,29.7,0:00:07.289220
2023-01-03 01:20:24.747443,28.9,0.0,1.239,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.8,14.0,20.5,0,0,0,100,29.8,20.5,0,3006,10.0,42.0,29.8,0:00:07.257252
2023-01-03 01:20:54.933647,28.9,0.0,1.236,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.5,14.0,20.5,0,0,0,100,29.5,20.5,0,3006,10.0,42.0,29.5,0:00:07.161328
2023-01-03 01:21:25.215745,28.9,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.1,14.0,20.5,0,0,0,100,30.1,20.5,0,3006,10.0,42.0,30.1,0:00:07.258248
2023-01-03 01:21:55.465920,28.9,0.0,1.236,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.8,14.0,20.5,0,0,0,100,29.8,20.5,0,3006,10.0,42.0,29.8,0:00:07.225111
2023-01-03 01:22:25.699909,28.9,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.9,14.0,20.5,0,0,0,100,29.8,20.5,0,3006,10.0,42.0,29.7,0:00:07.208974
2023-01-03 01:22:55.933945,28.9,0.0,1.236,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.9,14.0,20.5,0,0,0,100,29.9,20.5,0,3006,10.0,42.0,29.8,0:00:07.209756
2023-01-03 01:23:26.056141,28.9,0.0,1.24,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.6,14.0,20.5,0,0,0,100,29.6,20.5,0,3006,10.0,42.0,29.6,0:00:07.097356
2023-01-03 01:23:56.226334,28.8,0.0,1.236,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.5,14.0,20.5,0,0,0,100,29.6,20.5,0,3006,10.0,42.0,29.6,0:00:07.145216
2023-01-03 01:24:26.460443,28.8,0.0,1.236,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.1,14.0,20.5,0,0,0,100,30.0,20.5,0,3006,10.0,42.0,30.0,0:00:07.209132
2023-01-03 01:24:56.742667,28.8,0.0,1.238,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,30.0,14.0,20.5,0,0,0,100,29.9,20.5,0,3006,10.0,42.0,29.8,0:00:07.257832
2023-01-03 01:25:26.944856,28.8,0.0,1.236,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.8,14.0,20.5,0,0,0,100,29.8,20.5,0,3006,10.0,42.0,29.7,0:00:07.177897
2023-01-03 01:25:57.227043,28.8,0.0,1.237,45.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,29.7,14.0,20.5,0,0,0,100,29.6,20.5,0,3006,10.0,42.0,29.6,0:00:07.257210
