date,t_hs,t_hs_set,water_pressure,t_dhw,t_dhw_set,t_return,flow_rate,status_pump,runtime_comp,runtime_pump,posmix,qboh,qchhp,qsc,qch,qwp,qdhw,tvbh2,tliq2,tr2,ta2,tdhw2,mode,pump,ehs,bpv,t_v1,t_dhw1,t_vbh,t_outdoor_ot1,t_r1,v1,heat_slope,t_dhw_setpoint1,t_dhw_setpoint2,t_dhw_setpoint3,hyst_hp,t_ext,t_hc_set,t_hc,duration
2023-01-02 16:00:45.307237,30.5,0.0,1.245,47.9,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.3,15.5,22.5,40.0,47.9,0,0,0,100,30.5,47.9,31.3,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.3,0:00:03.839074
2023-01-02 16:01:18.069108,30.5,0.0,1.246,47.9,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.2,15.5,22.5,40.0,47.9,0,0,0,100,30.5,47.9,31.2,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.2,0:00:02.735710
2023-01-02 16:01:51.390792,30.5,0.0,1.246,47.9,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.7,15.5,22.5,40.0,47.9,0,0,0,100,30.5,47.9,31.7,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.6,0:00:03.317353
2023-01-02 16:02:25.432346,30.5,0.0,1.246,47.8,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.1,15.5,22.5,40.0,47.8,0,0,0,100,30.5,47.8,31.1,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.1,0:00:04.011192
2023-01-02 16:02:59.441728,30.5,0.0,1.247,47.8,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.1,15.5,22.5,40.0,47.8,0,0,0,100,30.5,47.8,31.1,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.1,0:00:03.993781
2023-01-02 16:03:33.931362,30.5,0.0,1.251,47.9,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.5,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.8,31.5,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.5,0:00:04.468382
2023-01-02 16:04:09.556567,30.5,0.0,1.246,47.8,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.2,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.8,31.2,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.3,0:00:05.606532
2023-01-02 16:04:44.941797,30.5,0.0,1.247,47.8,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.0,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.0,0:00:05.354871
2023-01-02 16:05:20.231216,30.5,0.0,1.246,47.8,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.5,15.5,22.5,40.0,47.8,0,0,0,100,30.5,47.8,31.5,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.5,0:00:05.265392
2023-01-02 16:05:56.512304,30.5,0.0,1.246,47.8,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.4,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,31.4,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.4,0:00:06.266111
2023-01-02 16:06:33.961257,30.5,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.4,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,31.4,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.5,0:00:07.442605
2023-01-02 16:07:11.969972,30.5,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.4,15.5,22.5,40.0,47.8,0,0,0,100,30.5,47.7,31.5,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.6,0:00:07.993751
2023-01-02 16:07:51.674431,30.5,0.0,1.246,47.8,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.8,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.8,31.7,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.6,0:00:09.674032
2023-01-02 16:08:31.474875,30.5,0.0,1.247,47.8,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.1,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.0,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.0,0:00:09.796124
2023-01-02 16:09:11.243437,30.5,0.0,1.247,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.8,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.8,31.7,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.7,0:00:09.740032
2023-01-02 16:09:50.995694,30.5,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.4,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.3,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.4,0:00:09.721928
2023-01-02 16:10:30.859714,30.5,0.0,1.247,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.5,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,31.5,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.6,0:00:09.843825
2023-01-02 16:11:11.571509,30.5,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.5,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,31.5,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.7,0:00:10.681362
2023-01-02 16:11:51.355455,30.5,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.4,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.4,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.4,0:00:09.762070
2023-01-02 16:12:31.139550,30.5,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.0,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.1,0:00:09.756150
2023-01-02 16:13:10.907429,30.5,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,31.9,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.9,0:00:09.737939
2023-01-02 16:13:50.675431,30.5,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.0,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.0,0:00:09.737825
