date,t_hs,t_hs_set,water_pressure,t_dhw,t_dhw_set,t_return,flow_rate,status_pump,runtime_comp,runtime_pump,posmix,qboh,qch,qwp,qdhw,tvbh2,tliq2,tr2,mode,pump,ehs,bpv,t_vbh,t_r1,v1,total_energy,t_ext,t_hc_set,t_hc,duration
2023-01-03 09:29:47.461110,21.3,0.0,1.228,43.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.3,13.5,20.5,0,0,0,100,34.3,20.5,0,3006,9.5,42.0,34.3,0:00:03.212709
2023-01-03 09:30:16.831552,21.3,0.0,1.228,43.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.2,13.5,20.5,0,0,0,100,34.2,20.5,0,3006,9.5,42.0,34.2,0:00:02.341278
2023-01-03 09:30:47.305454,21.3,0.0,1.228,43.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.0,13.5,20.5,0,0,0,100,34.1,20.5,0,3006,9.5,42.0,34.1,0:00:02.443492
2023-01-03 09:31:17.811592,21.4,0.0,1.228,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.0,13.5,20.5,0,0,0,100,34.0,20.5,0,3006,9.5,42.0,34.0,0:00:02.476020
2023-01-03 09:31:48.269615,21.4,0.0,1.229,43.0,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,33.9,13.5,20.5,0,0,0,100,33.9,20.5,0,3006,9.5,42.0,33.9,0:00:02.428182
2023-01-03 09:32:18.775621,21.4,0.0,1.229,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.2,13.5,20.5,0,0,0,100,34.2,20.5,0,3006,9.5,42.0,34.2,0:00:02.476993
2023-01-03 09:32:49.265391,21.4,0.0,1.226,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.0,13.5,20.5,0,0,0,100,34.0,20.5,0,3006,9.5,42.0,34.0,0:00:02.459473
2023-01-03 09:33:20.859374,21.4,0.0,1.229,42.8,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.0,13.5,20.5,0,0,0,100,34.0,20.5,0,3006,9.5,42.0,34.1,0:00:03.564230
2023-01-03 09:33:52.117223,21.4,0.0,1.227,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.2,13.5,20.5,0,0,0,100,34.2,20.5,0,3006,9.5,42.0,34.2,0:00:04.228810
2023-01-03 09:34:22.367356,21.4,0.0,1.229,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.2,13.5,20.5,0,0,0,100,34.2,20.5,0,3006,9.5,42.0,34.3,0:00:04.221983
2023-01-03 09:34:52.617322,21.4,0.0,1.227,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.3,13.5,20.5,0,0,0,100,34.2,20.5,0,3006,9.5,42.0,34.2,0:00:04.224446
2023-01-03 09:35:22.867398,21.4,0.0,1.227,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.6,13.5,20.5,0,0,0,100,34.6,20.5,0,3006,9.6,42.0,34.6,0:00:04.222088
2023-01-03 09:35:53.117571,21.4,0.0,1.227,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.5,13.5,20.5,0,0,0,100,34.4,20.5,0,3006,9.6,42.0,34.4,0:00:04.222091
2023-01-03 09:36:23.367740,21.4,0.0,1.228,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.7,13.5,20.5,0,0,0,100,34.7,20.5,0,3006,9.6,42.0,34.7,0:00:04.222156
2023-01-03 09:36:53.618136,21.4,0.0,1.227,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.7,13.5,20.5,0,0,0,100,34.7,20.5,0,3006,9.6,42.0,34.7,0:00:04.223275
2023-01-03 09:37:23.867358,21.4,0.0,1.229,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.5,13.5,20.5,0,0,0,100,34.5,20.5,0,3006,9.6,42.0,34.5,0:00:04.220969
2023-01-03 09:37:53.909427,21.4,0.0,1.228,42.9,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.7,13.5,20.5,0,0,0,100,34.6,20.5,0,3006,9.6,42.0,34.6,0:00:04.014289
2023-01-03 09:38:23.823657,21.4,0.0,1.227,42.8,48.0,20.5,0,0,1702,2787,0,13,8420,11229,2843,34.7,13.5,20.5,0,0,0,100,34.7,20.5,0,3006,9.6,42.0,34.7,0:00:03.887076
