input_power,accumulated_yield_energy,daily_yield_energy,power_meter_active_power,grid_accumulated_energy,grid_exported_energy,storage_state_of_capacity,storage_charge_discharge_power,system_time,local_time,sampling_duration
2470,6827.98,3.63,2729,854.08,5853.64,95.0,0,2022-08-23 11:41:20+00:00,2022-08-23T12:41:25.914415,11.2
2478,6828.03,3.68,2727,854.08,5853.68,95.0,0,2022-08-23 11:42:27+00:00,2022-08-23T12:42:33.708405,7.7
2515,6828.08,3.73,2754,854.08,5853.74,95.0,0,2022-08-23 11:43:38+00:00,2022-08-23T12:43:43.094196,9.3
2940,6828.13,3.78,3221,854.08,5853.79,95.0,0,2022-08-23 11:44:46+00:00,2022-08-23T12:44:51.836022,8.7
2882,6828.18,3.83,3223,854.08,5853.85,95.0,0,2022-08-23 11:45:54+00:00,2022-08-23T12:46:00.067883,8.2
2898,6828.24,3.89,3343,854.08,5853.91,95.0,0,2022-08-23 11:47:06+00:00,2022-08-23T12:47:12.672605,12.5
5138,6828.33,3.98,6085,854.08,5854.02,95.0,0,2022-08-23 11:48:16+00:00,2022-08-23T12:48:22.117859,9.4
3080,6828.41,4.06,2779,854.08,5854.12,95.0,0,2022-08-23 11:49:24+00:00,2022-08-23T12:49:30.293269,8.1
2908,6828.46,4.11,1763,854.08,5854.16,95.0,0,2022-08-23 11:50:33+00:00,2022-08-23T12:50:39.982929,9.6
4759,6828.56,4.21,4554,854.08,5854.25,95.0,0,2022-08-23 11:51:43+00:00,2022-08-23T12:51:48.733391,8.7
5476,6828.65,4.3,5196,854.08,5854.33,95.0,0,2022-08-23 11:52:50+00:00,2022-08-23T12:52:57.061880,8.3
4326,6828.75,4.4,4537,854.08,5854.43,95.0,0,2022-08-23 11:53:59+00:00,2022-08-23T12:54:05.796835,8.7
6817,6828.87,4.52,7005,854.08,5854.56,95.0,0,2022-08-23 11:55:09+00:00,2022-08-23T12:55:15.327201,9.5
6793,6829.0,4.65,6777,854.08,5854.68,95.0,0,2022-08-23 11:56:17+00:00,2022-08-23T12:56:23.493695,8.1
6641,6829.13,4.78,6330,854.08,5854.81,95.0,0,2022-08-23 11:57:26+00:00,2022-08-23T12:57:32.518038,9.0
6415,6829.26,4.9,5859,854.08,5854.93,95.0,0,2022-08-23 11:58:36+00:00,2022-08-23T12:58:41.493406,9.0
6076,6829.38,5.03,5014,854.08,5855.04,95.0,0,2022-08-23 11:59:47+00:00,2022-08-23T12:59:52.117374,10.6
5830,6829.49,5.14,4771,854.08,5855.12,95.0,0,2022-08-23 12:00:55+00:00,2022-08-23T13:01:02.041766,9.9
4863,6829.6,5.25,2165,854.08,5855.22,95.0,0,2022-08-23 12:02:05+00:00,2022-08-23T13:02:10.818613,8.7
5284,6829.69,5.34,3253,854.08,5855.29,95.0,0,2022-08-23 12:03:13+00:00,2022-08-23T13:03:19.961608,9.1
5612,6829.8,5.45,4222,854.08,5855.35,95.0,0,2022-08-23 12:04:22+00:00,2022-08-23T13:04:28.529012,8.5
4750,6829.9,5.55,3854,854.08,5855.43,95.0,0,2022-08-23 12:05:30+00:00,2022-08-23T13:05:36.409769,7.8
5378,6830.0,5.65,4079,854.08,5855.52,95.0,0,2022-08-23 12:06:40+00:00,2022-08-23T13:06:46.111423,9.6
5458,6830.11,5.76,4111,854.08,5855.6,95.0,0,2022-08-23 12:07:51+00:00,2022-08-23T13:07:56.025160,9.9
5402,6830.22,5.86,4002,854.08,5855.68,95.0,0,2022-08-23 12:08:59+00:00,2022-08-23T13:09:05.831614,9.7
5621,6830.32,5.97,4336,854.08,5855.75,95.0,0,2022-08-23 12:10:11+00:00,2022-08-23T13:10:17.102511,11.2
5526,6830.43,6.08,4196,854.08,5855.83,95.0,0,2022-08-23 12:11:20+00:00,2022-08-23T13:11:25.678320,8.5
5436,6830.53,6.18,3918,854.08,5855.91,95.0,0,2022-08-23 12:12:29+00:00,2022-08-23T13:12:34.587663,8.8
5145,6830.64,6.29,3580,854.08,5855.99,95.0,0,2022-08-23 12:13:38+00:00,2022-08-23T13:13:44.211533,9.6
5034,6830.73,6.38,3402,854.08,5856.04,95.0,0,2022-08-23 12:14:47+00:00,2022-08-23T13:14:52.748830,8.5
4955,6830.83,6.48,2974,854.08,5856.12,95.0,0,2022-08-23 12:15:56+00:00,2022-08-23T13:16:01.506749,8.7
4862,6830.92,6.57,2932,854.08,5856.18,95.0,0,2022-08-23 12:17:03+00:00,2022-08-23T13:17:09.585036,8.0
5175,6831.02,6.67,5940,854.08,5856.25,95.0,0,2022-08-23 12:18:12+00:00,2022-08-23T13:18:18.518513,8.9
5207,6831.12,6.77,6036,854.08,5856.37,95.0,0,2022-08-23 12:19:22+00:00,2022-08-23T13:19:27.701979,9.1
5073,6831.22,6.87,6024,854.08,5856.49,95.0,0,2022-08-23 12:20:33+00:00,2022-08-23T13:20:38.680990,11.0
5188,6831.32,6.97,5793,854.08,5856.6,95.0,0,2022-08-23 12:21:42+00:00,2022-08-23T13:21:47.567511,8.9
5159,6831.42,7.07,5772,854.08,5856.72,95.0,0,2022-08-23 12:22:51+00:00,2022-08-23T13:22:56.349806,8.7
5268,6831.52,7.17,6271,854.08,5856.83,95.0,0,2022-08-23 12:24:00+00:00,2022-08-23T13:24:05.133264,8.7
5583,6831.62,7.27,6562,854.08,5856.95,95.0,0,2022-08-23 12:25:06+00:00,2022-08-23T13:25:12.812753,7.6
