Total input power,Load power,Grid power,Total battery power,Total active power,Input power,Peak active power of current day,Active power,Accumulated energy yield,Daily energy yield,[Power meter collection] Active power,Positive active electricity,Reverse active power,[Energy storage] SOC,[Energy storage] Charge/Discharge power,[Energy storage] Current-day charge capacity,[Energy storage] Current-day discharge capacity,System time,[Backup] Switch to off-grid
4.805,0.0,-4.805,0.0,0.0,5.007,5.477,5.007,6922.03,3.4,6863.0,5940.45,854.53,95.0,0.0,12.41,2.8,1661514843.0,0.0
2.587,0.862,-1.725,0.0,0.0,1.079,5.477,1.079,6922.1,3.47,1333.0,5940.54,854.53,95.0,0.0,12.41,2.8,1661514913.0,0.0
1.496,0.17,-1.326,0.0,0.0,2.205,5.477,2.205,6922.12,3.49,6808.0,5940.56,854.53,95.0,0.0,12.41,2.8,1661514983.0,0.0
7.373,0.311,-7.062,0.0,0.0,5.419,5.477,5.419,6922.23,3.6,6985.0,5940.7,854.53,95.0,0.0,12.41,2.8,1661515052.0,0.0
7.273,0.265,-7.008,0.0,0.0,5.42,5.477,5.422,6922.33,3.7,7027.0,5940.85,854.53,95.0,0.0,12.41,2.8,1661515123.0,0.0
7.237,0.299,-6.938,0.0,0.0,5.334,5.477,5.333,6922.44,3.81,6893.0,5940.99,854.53,95.0,0.0,12.41,2.8,1661515193.0,0.0
7.088,0.187,-6.901,0.0,0.0,5.262,5.477,5.262,6922.54,3.92,6967.0,5941.12,854.53,95.0,0.0,12.41,2.8,1661515265.0,0.0
7.182,0.217,-6.965,0.0,0.0,5.273,5.477,5.273,6922.63,4.0,6967.0,5941.24,854.53,95.0,0.0,12.41,2.8,1661515336.0,0.0
6.806,1.109,-5.697,0.0,0.0,1.701,5.477,1.701,6922.71,4.08,1544.0,5941.33,854.53,95.0,0.0,12.41,2.8,1661515407.0,0.0
1.31,0.148,-1.162,0.0,0.0,0.943,5.477,0.943,6922.78,4.15,1076.0,5941.41,854.53,95.0,0.0,12.41,2.8,1661515475.0,0.0
1.232,0.153,-1.079,0.0,0.0,0.899,5.477,0.899,6922.8,4.17,1088.0,5941.43,854.53,95.0,0.0,12.41,2.8,1661515544.0,0.0
1.254,0.159,-1.095,0.0,0.0,1.008,5.477,1.02,6922.81,4.18,1310.0,5941.47,854.53,95.0,0.0,12.41,2.8,1661515615.0,0.0
7.473,0.238,-7.235,0.0,0.0,4.834,5.54,4.834,6922.9,4.27,7192.0,5941.58,854.53,95.0,0.0,12.41,2.8,1661515684.0,0.0
7.516,0.196,-7.32,0.0,0.0,5.594,5.595,5.592,6923.01,4.38,7328.0,5941.72,854.53,95.0,0.0,12.41,2.8,1661515753.0,0.0
7.516,0.196,-7.32,0.0,0.0,5.575,5.601,5.571,6923.12,4.49,7295.0,5941.87,854.53,95.0,0.0,12.41,2.8,1661515824.0,0.0
7.433,0.174,-7.259,0.0,0.0,5.44,5.601,5.44,6923.22,4.59,7298.0,5942.0,854.53,95.0,0.0,12.41,2.8,1661515894.0,0.0
4.487,0.0,-4.487,0.0,0.0,1.297,5.671,1.297,6923.31,4.68,1545.0,5942.1,854.53,95.0,0.0,12.41,2.8,1661515964.0,0.0
1.593,0.282,-1.311,0.0,0.0,1.189,5.671,1.243,6923.33,4.7,1497.0,5942.14,854.53,95.0,0.0,12.41,2.8,1661516035.0,0.0
1.347,0.147,-1.2,0.0,0.0,0.903,5.671,0.903,6923.35,4.72,1098.0,5942.16,854.53,95.0,0.0,12.41,2.8,1661516108.0,0.0
5.482,0.453,-5.029,0.0,0.0,3.636,5.671,3.636,6923.38,4.75,6186.0,5942.2,854.53,95.0,0.0,12.41,2.8,1661516177.0,0.0
7.094,0.218,-6.876,0.0,0.0,5.51,5.671,5.506,6923.48,4.85,7190.0,5942.33,854.53,95.0,0.0,12.41,2.8,1661516246.0,0.0
4.736,0.53,-4.206,0.0,0.0,5.449,5.671,5.449,6923.58,4.95,7176.0,5942.47,854.53,95.0,0.0,12.42,2.8,1661516316.0,0.0
7.465,0.148,-7.317,0.0,0.0,5.524,5.671,5.524,6923.69,5.06,7337.0,5942.6,854.53,95.0,0.0,12.42,2.8,1661516386.0,0.0
7.339,0.205,-7.134,0.0,0.0,5.399,5.671,5.399,6923.75,5.12,4906.0,5942.7,854.53,95.0,0.0,12.42,2.8,1661516458.0,0.0
3.426,1.101,-2.325,0.0,0.0,1.363,5.671,1.502,6923.79,5.16,2714.0,5942.74,854.53,95.0,0.0,12.42,2.8,1661516527.0,0.0
1.473,0.122,-1.351,0.0,0.0,0.98,5.671,0.98,6923.81,5.18,1248.0,5942.77,854.53,95.0,0.0,12.42,2.8,1661516597.0,0.0
1.566,0.0,-1.566,0.0,0.0,3.062,5.671,3.318,6923.84,5.21,3774.0,5942.81,854.53,95.0,0.0,12.42,2.8,1661516668.0,0.0
7.738,0.165,-7.573,0.0,0.0,5.709,5.725,5.709,6923.94,5.31,7565.0,5942.95,854.53,95.0,0.0,12.42,2.8,1661516737.0,0.0
7.617,0.065,-7.552,0.0,0.0,5.677,5.725,5.677,6924.05,5.43,7542.0,5943.1,854.53,95.0,0.0,12.42,2.8,1661516806.0,0.0
7.723,0.149,-7.574,0.0,0.0,5.721,5.745,5.732,6924.17,5.53,7580.0,5943.25,854.53,95.0,0.0,12.42,2.8,1661516877.0,0.0
7.675,0.148,-7.527,0.0,0.0,5.677,5.745,5.677,6924.28,5.65,7488.0,5943.39,854.53,95.0,0.0,12.42,2.8,1661516950.0,0.0
7.434,0.116,-7.318,0.0,0.0,5.537,5.745,5.537,6924.39,5.76,7326.0,5943.54,854.53,95.0,0.0,12.42,2.8,1661517020.0,0.0
5.815,0.893,-4.922,0.0,0.0,2.368,5.745,2.524,6924.49,5.86,6132.0,5943.66,854.53,95.0,0.0,12.42,2.8,1661517091.0,0.0
7.494,0.212,-7.282,0.0,0.0,5.461,5.745,5.461,6924.59,5.96,7186.0,5943.81,854.53,95.0,0.0,12.42,2.8,1661517161.0,0.0
7.401,0.148,-7.253,0.0,0.0,5.529,5.745,5.541,6924.7,6.07,7259.0,5943.95,854.53,95.0,0.0,12.42,2.8,1661517232.0,0.0
