local_time,total_input_power,load_power,grid_power,total_battery_power,total_active_power,input_power,day_active_power_peak,active_power,accumulated_yield_energy,daily_yield_energy,power_meter_active_power,grid_exported_energy,grid_accumulated_energy,storage_state_of_capacity,storage_charge_discharge_power,storage_current_day_charge_capacity,storage_current_day_discharge_capacity,system_time,backup_switch_to_off_grid,a_phase_active_power,b_phase_active_power,c_phase_active_power,forward_energy
2022-08-29T23:31:45.586362,0.0,0.187,0.001,-0.186,0.0,0.0,5.98,0.186,7028.98,31.33,-1.0,6035.45,854.89,82.0,-186.0,9.19,8.41,1661815899.0,0.0,1.0,1.0,30.0,1.98375
2022-08-29T23:32:15.991127,0.0,0.187,0.001,-0.186,0.0,0.0,5.98,0.185,7028.98,31.33,1.0,6035.45,854.89,82.0,-189.0,9.19,8.41,1661815930.0,0.0,1.0,2.0,30.0,1.98375
2022-08-29T23:32:47.161279,0.0,0.185,0.0,-0.185,0.0,0.0,5.98,0.182,7028.98,31.33,0.0,6035.45,854.89,82.0,-184.0,9.19,8.41,1661815962.0,0.0,1.0,1.0,30.0,1.98375
2022-08-29T23:33:16.232210,0.0,0.184,0.0,-0.184,0.0,0.0,5.98,0.293,7028.98,31.33,-1.0,6035.45,854.89,82.0,-295.0,9.19,8.41,1661815990.0,0.0,1.0,1.0,30.0,1.98375
2022-08-29T23:33:48.939390,0.0,0.184,0.0,-0.184,0.0,0.0,5.98,0.291,7028.99,31.34,1.0,6035.45,854.89,82.0,-291.0,9.19,8.43,1661816024.0,0.0,1.0,1.0,30.0,1.98375
2022-08-29T23:34:16.405027,0.0,0.288,0.0,-0.288,0.0,0.0,5.98,0.284,7028.99,31.34,-3.0,6035.45,854.89,82.0,-289.0,9.19,8.43,1661816051.0,0.0,1.0,2.0,30.0,1.985
2022-08-29T23:34:49.126064,0.0,0.237,0.002,-0.235,0.0,0.0,5.98,0.238,7028.99,31.34,0.0,6035.45,854.89,82.0,-237.0,9.19,8.43,1661816084.0,0.0,1.0,1.0,30.0,1.985
2022-08-29T23:35:18.926386,0.0,0.237,0.002,-0.235,0.0,0.0,5.98,0.232,7028.99,31.34,1.0,6035.45,854.89,82.0,-232.0,9.19,8.43,1661816114.0,0.0,1.0,2.0,30.0,1.985
2022-08-29T23:35:48.954434,0.0,0.23,-0.001,-0.231,0.0,0.0,5.98,0.229,7028.99,31.34,-1.0,6035.45,854.89,82.0,-231.0,9.19,8.43,1661816143.0,0.0,1.0,1.0,30.0,1.985
2022-08-29T23:36:18.458973,0.0,0.228,0.0,-0.228,0.0,0.0,5.98,0.228,7029.0,31.35,-1.0,6035.45,854.89,82.0,-228.0,9.19,8.43,1661816173.0,0.0,1.0,1.0,30.0,1.985
2022-08-29T23:36:48.709063,0.0,0.228,0.0,-0.228,0.0,0.0,5.98,0.225,7029.0,31.35,1.0,6035.45,854.89,82.0,-225.0,9.19,8.45,1661816203.0,0.0,1.0,1.0,30.0,1.98625
2022-08-29T23:37:20.154051,0.0,0.229,0.002,-0.227,0.0,0.0,5.98,0.226,7029.0,31.35,0.0,6035.45,854.89,82.0,-226.0,9.19,8.45,1661816235.0,0.0,1.0,1.0,30.0,1.98625
2022-08-29T23:37:50.015468,0.0,0.225,0.0,-0.225,0.0,0.0,5.98,0.225,7029.0,31.35,-1.0,6035.45,854.89,82.0,-225.0,9.19,8.45,1661816265.0,0.0,1.0,1.0,30.0,1.98625
2022-08-29T23:38:20.973422,0.0,0.225,0.0,-0.225,0.0,0.0,5.98,0.227,7029.0,31.35,84.0,6035.45,854.89,82.0,-227.0,9.19,8.45,1661816295.0,0.0,1.0,1.0,30.0,1.98625
2022-08-29T23:38:51.767463,0.0,0.131,-0.001,-0.132,0.0,0.0,5.98,0.134,7029.0,31.35,-1.0,6035.45,854.89,82.0,-133.0,9.19,8.45,1661816327.0,0.0,1.0,1.0,30.0,1.98625
2022-08-29T23:39:23.218085,0.0,0.133,-0.001,-0.134,0.0,0.0,5.98,0.131,7029.01,31.36,0.0,6035.45,854.89,82.0,-133.0,9.19,8.45,1661816357.0,0.0,1.0,1.0,30.0,1.9875
2022-08-29T23:39:53.245769,0.0,0.133,-0.001,-0.134,0.0,0.0,5.98,0.14,7029.01,31.36,0.0,6035.45,854.89,81.0,-133.0,9.19,8.47,1661816388.0,0.0,1.0,1.0,30.0,1.9875
2022-08-29T23:40:24.070284,0.0,0.136,0.001,-0.135,0.0,0.0,5.98,0.134,7029.01,31.36,0.0,6035.45,854.89,81.0,-133.0,9.19,8.47,1661816419.0,0.0,1.0,1.0,30.0,1.9875
2022-08-29T23:40:53.809722,0.0,0.135,0.0,-0.135,0.0,0.0,5.98,0.134,7029.01,31.36,0.0,6035.45,854.89,81.0,-134.0,9.19,8.47,1661816449.0,0.0,1.0,1.0,29.0,1.9875
2022-08-29T23:41:24.825698,0.0,0.135,0.0,-0.135,0.0,0.0,5.98,0.135,7029.01,31.36,0.0,6035.45,854.89,81.0,-135.0,9.19,8.47,1661816479.0,0.0,1.0,1.0,30.0,1.98875
2022-08-29T23:41:54.274182,0.0,0.134,0.0,-0.134,0.0,0.0,5.98,0.133,7029.01,31.36,0.0,6035.45,854.89,81.0,-133.0,9.19,8.47,1661816508.0,0.0,1.0,1.0,29.0,1.98875
2022-08-29T23:42:25.496813,0.0,0.136,-0.001,-0.137,0.0,0.0,5.98,0.134,7029.01,31.36,0.0,6035.45,854.89,81.0,-134.0,9.19,8.48,1661816540.0,0.0,1.0,1.0,30.0,1.98875
2022-08-29T23:42:55.212293,0.0,0.136,-0.001,-0.137,0.0,0.0,5.98,0.133,7029.01,31.36,-1.0,6035.45,854.89,81.0,-133.0,9.19,8.48,1661816570.0,0.0,1.0,2.0,30.0,1.98875
2022-08-29T23:43:26.389729,0.0,0.133,0.0,-0.133,0.0,0.0,5.98,0.132,7029.01,31.36,0.0,6035.45,854.89,81.0,-135.0,9.19,8.48,1661816600.0,0.0,1.0,1.0,30.0,1.98875
2022-08-29T23:43:55.900673,0.0,0.136,-0.002,-0.138,0.0,0.0,5.98,0.132,7029.02,31.37,0.0,6035.45,854.89,81.0,-132.0,9.19,8.48,1661816630.0,0.0,1.0,1.0,30.0,1.99
2022-08-29T23:44:27.090263,0.0,0.136,-0.002,-0.138,0.0,0.0,5.98,0.135,7029.02,31.37,0.0,6035.45,854.89,81.0,-135.0,9.19,8.48,1661816662.0,0.0,1.0,1.0,29.0,1.99
2022-08-29T23:44:57.333583,0.0,0.133,0.001,-0.132,0.0,0.0,5.98,0.132,7029.02,31.37,0.0,6035.45,854.89,81.0,-132.0,9.19,8.48,1661816692.0,0.0,1.0,1.0,29.0,1.99
2022-08-29T23:45:27.511490,0.0,0.134,0.0,-0.134,0.0,0.0,5.98,0.13,7029.02,31.37,1.0,6035.45,854.89,81.0,-131.0,9.19,8.5,1661816722.0,0.0,1.0,1.0,29.0,1.99
2022-08-29T23:45:57.431891,0.0,0.134,0.0,-0.134,0.0,0.0,5.98,0.133,7029.02,31.37,0.0,6035.45,854.89,81.0,-136.0,9.19,8.5,1661816753.0,0.0,1.0,1.0,29.0,1.99
2022-08-29T23:46:27.994203,0.0,0.132,0.001,-0.131,0.0,0.0,5.98,0.134,7029.02,31.37,0.0,6035.45,854.89,81.0,-132.0,9.19,8.5,1661816783.0,0.0,1.0,1.0,29.0,1.99125
