local_time,total_input_power,load_power,grid_power,total_battery_power,input_power,day_active_power_peak,active_power,accumulated_yield_energy,daily_yield_energy,grid_voltage_a_phase,b_phase_voltage,c_phase_voltage,power_meter_active_power,grid_frequency,grid_exported_energy,grid_accumulated_energy,storage_state_of_capacity,storage_charge_discharge_power,storage_current_day_charge_capacity,storage_current_day_discharge_capacity,system_time,backup_switch_to_off_grid,a_phase_active_power,b_phase_active_power,c_phase_active_power,forward_energy
2022-09-01T01:08:22.922665,0.0,0.08,0.002,-0.078,0.0,0.275,0.074,7075.0,0.14,233.3,235.3,236.3,-1.0,49.95,6081.68,855.04,82.0,-74.0,0.0,0.37,1661994497.0,0.0,1.0,1.0,30.0,5.85375
2022-09-01T01:09:28.370806,0.0,0.075,0.0,-0.075,0.0,0.275,0.151,7075.0,0.14,234.0,235.0,236.8,-19.0,49.97,6081.68,855.04,82.0,-184.0,0.0,0.37,1661994563.0,0.0,1.0,1.0,30.0,5.85375
2022-09-01T01:10:35.231526,0.0,0.213,0.0,-0.213,0.0,0.275,0.213,7075.0,0.14,234.1,234.8,236.8,0.0,49.97,6081.68,855.04,82.0,-213.0,0.0,0.38,1661994630.0,0.0,1.0,1.0,30.0,5.85375
2022-09-01T01:11:44.265495,0.0,0.217,0.0,-0.217,0.0,0.275,0.216,7075.01,0.15,234.0,235.1,235.8,1.0,49.97,6081.68,855.04,82.0,-214.0,0.0,0.38,1661994698.0,0.0,1.0,1.0,30.0,5.85625
2022-09-01T01:12:51.073989,0.0,0.215,0.0,-0.215,0.0,0.275,0.211,7075.01,0.15,233.8,235.3,236.3,0.0,49.97,6081.68,855.04,82.0,-211.0,0.0,0.38,1661994766.0,0.0,1.0,1.0,30.0,5.85625
2022-09-01T01:13:58.765496,0.0,0.214,0.0,-0.214,0.0,0.275,0.21,7075.01,0.15,233.1,235.0,235.8,0.0,49.99,6081.68,855.04,82.0,-210.0,0.0,0.4,1661994833.0,0.0,1.0,1.0,30.0,5.8575
2022-09-01T01:15:07.607931,0.0,0.13,-0.001,-0.131,,,,,,,,,,,,,,,,,,,1.0,1.0,30.0,5.8575
2022-09-01T01:16:17.668569,,,,,0.0,0.275,0.118,7075.02,0.16,233.3,234.8,235.6,0.0,49.97,6081.68,855.04,82.0,-122.0,0.0,0.42,1661994972.0,0.0,1.0,1.0,30.0,5.85875
2022-09-01T01:17:20.574624,0.0,0.119,-0.002,-0.121,0.0,0.275,0.122,7075.02,0.16,233.8,237.1,236.5,-2.0,49.97,6081.68,855.04,82.0,-122.0,0.0,0.42,1661995035.0,0.0,1.0,1.0,31.0,5.85875
2022-09-01T01:18:28.294471,0.0,0.12,-0.001,-0.121,0.0,0.275,0.125,7075.02,0.16,233.1,236.1,234.8,-1.0,50.0,6081.68,855.04,81.0,-125.0,0.0,0.42,1661995103.0,0.0,1.0,1.0,30.0,5.86
2022-09-01T01:19:36.901828,0.0,0.123,0.0,-0.123,0.0,0.275,0.124,7075.03,0.17,233.6,235.3,235.1,0.0,50.0,6081.68,855.04,81.0,-120.0,0.0,0.44,1661995172.0,0.0,1.0,1.0,30.0,5.86
2022-09-01T01:20:42.978473,0.0,0.126,0.001,-0.125,0.0,0.275,0.122,7075.03,0.17,233.8,237.1,234.8,1.0,50.0,6081.68,855.04,81.0,-124.0,0.0,0.44,1661995239.0,0.0,1.0,1.0,30.0,5.86125
2022-09-01T01:21:52.993495,0.0,0.126,0.001,-0.125,0.0,0.275,0.121,7075.03,0.17,233.1,235.3,234.8,-1.0,50.0,6081.68,855.04,81.0,-123.0,0.0,0.45,1661995309.0,0.0,1.0,1.0,30.0,5.86125
2022-09-01T01:22:57.498081,0.0,0.123,0.0,-0.123,0.0,0.275,0.123,7075.03,0.17,234.3,235.5,235.6,0.0,50.0,6081.68,855.04,81.0,-123.0,0.0,0.45,1661995372.0,0.0,1.0,1.0,30.0,5.86125
2022-09-01T01:24:04.886909,0.0,0.121,0.0,-0.121,0.0,0.275,0.116,7075.04,0.18,230.6,233.8,232.6,-5.0,50.0,6081.68,855.04,81.0,-116.0,0.0,0.45,1661995439.0,0.0,1.0,1.0,29.0,5.8625
2022-09-01T01:25:14.639204,0.0,0.122,-0.001,-0.123,0.0,0.275,0.122,7075.04,0.18,230.1,233.8,232.1,-1.0,50.0,6081.68,855.04,81.0,-121.0,0.0,0.47,1661995509.0,0.0,1.0,1.0,30.0,5.8625
2022-09-01T01:26:19.840141,0.0,0.12,0.0,-0.12,0.0,0.275,0.123,7075.04,0.18,230.8,232.8,231.8,0.0,50.0,6081.68,855.04,81.0,-123.0,0.0,0.47,1661995575.0,0.0,1.0,1.0,29.0,5.86375
2022-09-01T01:27:27.831728,0.0,0.122,0.001,-0.121,0.0,0.275,0.12,7075.04,0.18,229.8,232.8,232.0,0.0,50.0,6081.68,855.04,81.0,-121.0,0.0,0.48,1661995643.0,0.0,1.0,1.0,30.0,5.86375
2022-09-01T01:28:35.595106,0.0,0.225,0.0,-0.225,0.0,0.378,0.219,7075.05,0.19,229.8,233.3,232.5,0.0,50.0,6081.68,855.04,81.0,-219.0,0.0,0.48,1661995709.0,0.0,1.0,1.0,30.0,5.865
2022-09-01T01:29:43.796934,0.0,0.218,0.0,-0.218,0.0,0.378,0.217,7075.05,0.19,229.3,233.0,232.6,-1.0,50.0,6081.68,855.04,81.0,-214.0,0.0,0.48,1661995778.0,0.0,1.0,1.0,29.0,5.865
2022-09-01T01:30:50.794452,0.0,0.213,-0.001,-0.214,0.0,0.378,0.213,7075.06,0.2,230.8,233.8,232.3,1.0,49.99,6081.68,855.04,81.0,-211.0,0.0,0.5,1661995845.0,0.0,1.0,1.0,29.0,5.86625
2022-09-01T01:31:58.631810,0.0,0.207,0.0,-0.207,0.0,0.378,0.205,7075.06,0.2,230.8,233.0,231.3,0.0,49.99,6081.68,855.04,81.0,-207.0,0.0,0.5,1661995913.0,0.0,1.0,1.0,29.0,5.86625
2022-09-01T01:33:07.935939,0.0,0.186,-0.019,-0.205,0.0,0.378,0.118,7075.06,0.2,229.3,233.1,232.6,0.0,50.0,6081.68,855.04,81.0,-118.0,0.0,0.5,1661995982.0,0.0,1.0,1.0,30.0,5.8675
2022-09-01T01:34:13.188377,0.0,0.122,0.0,-0.122,0.0,0.378,0.071,7075.06,0.2,231.6,231.6,232.1,0.0,49.99,6081.68,855.04,81.0,-71.0,0.0,0.52,1661996048.0,0.0,1.0,1.0,29.0,5.8675
2022-09-01T01:35:25.666913,0.0,0.069,-0.002,-0.071,,,,,,,,,,,,,,,,,,,1.0,1.0,29.0,5.8675
2022-09-01T01:36:32.271997,,,,,0.0,0.378,0.07,7075.07,0.21,231.1,231.8,231.3,0.0,50.0,6081.68,855.04,81.0,-74.0,0.0,0.54,1661996186.0,0.0,1.0,1.0,29.0,5.86875
2022-09-01T01:37:37.090190,0.0,0.069,0.0,-0.069,0.0,0.378,0.071,7075.07,0.21,234.6,236.3,234.8,0.0,50.02,6081.68,855.04,81.0,-74.0,0.0,0.54,1661996251.0,0.0,1.0,1.0,30.0,5.86875
2022-09-01T01:38:43.809598,0.0,0.074,0.001,-0.073,0.0,0.378,0.072,7075.07,0.21,234.3,235.3,233.6,0.0,50.0,6081.68,855.04,81.0,-68.0,0.0,0.54,1661996319.0,0.0,1.0,1.0,30.0,5.87
2022-09-01T01:39:50.812247,0.0,0.07,0.001,-0.069,0.0,0.378,0.07,7075.07,0.21,233.8,235.8,233.6,-1.0,50.0,6081.68,855.04,81.0,-70.0,0.0,0.54,1661996386.0,0.0,1.0,1.0,30.0,5.87
2022-09-01T01:40:58.309135,0.0,0.072,-0.001,-0.073,0.0,0.378,0.077,7075.07,0.21,234.5,236.1,232.6,-13.0,50.0,6081.68,855.04,81.0,-77.0,0.0,0.54,1661996454.0,0.0,1.0,1.0,30.0,5.87125
2022-09-01T01:42:06.366876,0.0,0.108,0.003,-0.105,0.0,0.378,0.106,7075.07,0.21,234.8,235.3,234.3,-1.0,50.0,6081.68,855.04,81.0,-109.0,0.0,0.56,1661996522.0,0.0,1.0,1.0,30.0,5.87125
2022-09-01T01:43:13.649776,0.0,0.115,0.002,-0.113,0.0,0.378,0.114,7075.08,0.22,235.1,236.1,234.6,0.0,50.0,6081.68,855.04,81.0,-114.0,0.0,0.56,1661996589.0,0.0,1.0,1.0,30.0,5.8725
2022-09-01T01:44:20.394567,0.0,0.113,0.0,-0.113,0.0,0.378,0.113,7075.08,0.22,234.6,236.6,234.6,0.0,50.0,6081.68,855.04,81.0,-113.0,0.0,0.56,1661996655.0,0.0,1.0,1.0,30.0,5.8725
2022-09-01T01:45:28.864537,0.0,0.117,0.0,-0.117,0.0,0.378,0.111,7075.08,0.22,235.6,236.6,233.5,-1.0,50.0,6081.68,855.04,81.0,-114.0,0.0,0.57,1661996723.0,0.0,1.0,2.0,30.0,5.87375
2022-09-01T01:46:37.072740,0.0,0.223,0.0,-0.223,0.0,0.378,0.224,7075.08,0.22,234.8,236.1,235.3,1.0,50.0,6081.68,855.04,81.0,-217.0,0.0,0.57,1661996792.0,0.0,1.0,2.0,30.0,5.87375
2022-09-01T01:47:42.261265,0.0,0.21,0.001,-0.209,0.0,0.378,0.209,7075.09,0.23,231.8,233.1,232.6,1.0,50.02,6081.68,855.04,81.0,-209.0,0.0,0.59,1661996858.0,0.0,1.0,1.0,29.0,5.87375
2022-09-01T01:48:51.015292,0.0,0.211,0.0,-0.211,0.0,0.378,0.205,7075.09,0.23,232.1,232.6,232.6,0.0,50.0,6081.68,855.04,81.0,-205.0,0.0,0.59,1661996925.0,0.0,1.0,1.0,30.0,5.87625
