local_time,total_input_power,load_power,grid_power,total_battery_power,input_power,day_active_power_peak,active_power,accumulated_yield_energy,daily_yield_energy,grid_voltage_a_phase,b_phase_voltage,c_phase_voltage,power_meter_active_power,grid_frequency,grid_exported_energy,grid_accumulated_energy,storage_state_of_capacity,storage_charge_discharge_power,storage_current_day_charge_capacity,storage_current_day_discharge_capacity,backup_switch_to_off_grid,a_phase_active_power,b_phase_active_power,c_phase_active_power,forward_energy
2022-09-03T06:03:03.571967,0.0,0.191,0.001,-0.19,0.0,0.847,0.189,7140.38,1.66,233.5,236.3,235.1,-0.002,50.0,6151.22,855.35,75.0,-0.189,0.03,2.97,0.0,0.001,0.001,0.031,8.845
2022-09-03T06:04:04.249965,0.0,0.191,0.0,-0.191,0.0,0.847,0.187,7140.38,1.66,231.8,235.0,233.6,-0.002,49.97,6151.22,855.35,75.0,-0.186,0.03,2.97,0.0,0.001,0.001,0.03,8.8475
2022-09-03T06:05:08.223294,0.0,0.187,0.0,-0.187,,,,,,,,,,,,,,,,,,0.001,0.001,0.03,8.8475
2022-09-03T06:06:07.445328,,,,,0.0,0.847,0.189,7140.38,1.66,232.1,235.6,233.6,-0.001,49.97,6151.22,855.35,75.0,-0.19,0.03,2.98,0.0,0.001,0.001,0.03,8.84875
2022-09-03T06:07:04.138267,0.0,0.189,0.0,-0.189,0.0,0.847,0.188,7140.39,1.67,232.6,235.3,234.1,-0.001,49.97,6151.22,855.35,75.0,-0.188,0.03,2.98,0.0,0.001,0.001,0.03,8.84875
2022-09-03T06:08:06.456958,0.0,0.187,-0.001,-0.188,0.0,0.847,0.189,7140.39,1.67,232.1,236.0,234.8,-0.001,49.97,6151.22,855.35,75.0,-0.191,0.03,2.98,0.0,0.001,0.001,0.03,8.84875
2022-09-03T06:09:03.577503,0.0,0.193,0.001,-0.192,0.0,0.847,0.189,7140.39,1.67,230.8,235.3,233.8,-0.001,49.97,6151.22,855.35,75.0,-0.188,0.03,3.0,0.0,0.001,0.001,0.03,8.85
2022-09-03T06:10:03.407368,0.0,0.189,0.0,-0.189,0.0,0.847,0.187,7140.4,1.68,231.6,235.5,234.1,-0.002,49.97,6151.22,855.35,74.0,-0.187,0.03,3.0,0.0,0.001,0.001,0.03,8.85
2022-09-03T06:11:03.217026,0.0,0.279,0.009,-0.27,0.0,0.847,0.297,7140.4,1.68,231.5,235.8,234.0,0.001,50.0,6151.22,855.35,74.0,-0.297,0.03,3.0,0.0,0.001,0.001,0.03,8.85125
2022-09-03T06:12:04.864330,0.0,0.291,0.0,-0.291,0.0,0.847,0.286,7140.41,1.69,231.1,235.8,233.8,0.0,49.99,6151.22,855.35,74.0,-0.283,0.03,3.02,0.0,0.001,0.001,0.03,8.85125
2022-09-03T06:13:04.658008,0.0,0.286,0.0,-0.286,0.0,0.847,0.281,7140.41,1.69,229.8,235.6,233.8,0.002,49.97,6151.22,855.35,74.0,-0.282,0.03,3.02,0.0,0.001,0.001,0.03,8.85125
2022-09-03T06:14:04.184365,0.0,0.282,-0.001,-0.283,0.0,0.847,0.277,7140.42,1.7,231.8,235.3,234.5,0.001,49.97,6151.22,855.35,74.0,-0.281,0.03,3.02,0.0,0.001,0.001,0.03,8.8525
2022-09-03T06:15:07.687468,0.0,0.277,-0.001,-0.278,,,,,,,,,,,,,,,,,,0.001,0.002,0.03,8.8525
2022-09-03T06:16:08.096650,,,,,0.0,0.847,0.157,7140.42,1.7,233.8,236.3,234.6,0.001,49.99,6151.22,855.35,74.0,-0.154,0.03,3.05,0.0,0.001,0.001,0.03,8.85375
2022-09-03T06:17:03.746359,0.0,0.152,0.002,-0.15,0.0,0.847,0.153,7140.43,1.71,232.3,237.1,235.3,0.0,49.97,6151.22,855.35,74.0,-0.153,0.03,3.07,0.0,0.001,0.001,0.03,8.85375
2022-09-03T06:18:04.237950,0.0,0.156,0.001,-0.155,0.0,0.847,0.153,7140.43,1.71,232.6,237.3,235.1,0.002,50.0,6151.22,855.35,74.0,-0.153,0.03,3.07,0.0,0.001,0.001,0.03,8.85375
2022-09-03T06:19:04.226599,0.0,0.152,0.0,-0.152,0.0,0.847,0.15,7140.43,1.71,231.8,237.1,234.1,0.0,50.0,6151.22,855.35,74.0,-0.149,0.03,3.07,0.0,0.001,0.001,0.03,8.855
2022-09-03T06:20:07.724769,0.0,0.148,-0.001,-0.149,,,,,,,,,,,,,,,,,,0.001,0.001,0.03,8.855
2022-09-03T06:21:07.713204,,,,,0.0,0.847,0.149,7140.44,1.72,233.6,237.6,234.3,0.0,50.0,6151.22,855.35,74.0,-0.156,0.03,3.08,0.0,0.002,0.001,0.03,8.85625
