local_time,input_power,day_active_power_peak,active_power,accumulated_yield_energy,daily_yield_energy,grid_voltage_a_phase,b_phase_voltage,c_phase_voltage,power_meter_active_power,grid_frequency,grid_exported_energy,grid_accumulated_energy,storage_state_of_capacity,storage_charge_discharge_power,storage_current_day_charge_capacity,storage_current_day_discharge_capacity,backup_switch_to_off_grid,a_phase_active_power,b_phase_active_power,c_phase_active_power,forward_energy
2022-09-04T09:21:13.614138,3.492,1.728,0.0,7172.6,1.48,240.8,237.8,230.1,1.098,50.0,6183.95,855.67,79.0,3.492,3.3,2.83,0.0,0.002,0.001,0.029,10.83
2022-09-04T09:21:44.489356,3.495,1.728,0.0,7172.6,1.48,241.6,237.1,231.6,1.098,50.0,6183.95,855.67,79.0,3.495,3.3,2.83,0.0,0.001,0.001,0.029,10.83
2022-09-04T09:22:15.010710,3.51,1.728,0.0,7172.6,1.48,241.3,238.1,230.3,1.105,50.0,6183.97,855.67,79.0,3.51,3.3,2.83,0.0,0.002,0.001,0.029,10.83125
2022-09-04T09:22:45.529650,3.521,1.728,0.0,7172.6,1.48,240.3,237.8,230.6,1.105,50.0,6183.97,855.67,79.0,3.521,3.46,2.83,0.0,0.002,0.001,0.029,10.83125
2022-09-04T09:23:16.146948,3.523,1.728,0.0,7172.6,1.48,241.0,237.3,231.1,1.107,50.0,6183.99,855.67,79.0,3.523,3.46,2.83,0.0,0.001,0.001,0.029,10.83125
2022-09-04T09:23:46.855596,3.532,1.728,0.0,7172.6,1.48,241.8,237.8,230.6,1.112,50.0,6184.0,855.67,79.0,3.532,3.46,2.83,0.0,0.001,0.001,0.029,10.83125
2022-09-04T09:24:17.368515,3.553,1.728,0.0,7172.6,1.48,241.6,236.8,232.1,1.114,50.0,6184.0,855.67,79.0,3.553,3.46,2.83,0.0,0.001,0.001,0.029,10.83125
2022-09-04T09:24:47.871535,3.558,1.728,0.0,7172.6,1.48,242.5,236.3,232.1,1.113,50.0,6184.02,855.67,79.0,3.558,3.46,2.83,0.0,0.001,0.001,0.029,10.8325
2022-09-04T09:25:18.501528,3.573,1.728,0.0,7172.6,1.48,242.3,238.1,231.8,1.123,49.99,6184.02,855.67,79.0,3.568,3.58,2.83,0.0,0.002,0.001,0.029,10.8325
2022-09-04T09:25:49.053647,3.574,1.728,0.0,7172.6,1.48,241.6,238.1,232.1,1.126,49.97,6184.04,855.67,79.0,3.574,3.58,2.83,0.0,0.001,0.001,0.029,10.8325
2022-09-04T09:26:19.725336,3.587,1.728,0.0,7172.6,1.48,239.0,238.1,231.8,1.132,50.0,6184.04,855.67,79.0,3.587,3.58,2.83,0.0,0.001,0.001,0.029,10.8325
2022-09-04T09:26:50.290641,3.594,1.728,0.0,7172.6,1.48,240.6,237.8,231.6,1.137,50.0,6184.06,855.67,80.0,3.594,3.58,2.83,0.0,0.001,0.001,0.029,10.8325
2022-09-04T09:27:20.883849,3.606,1.728,0.0,7172.6,1.48,241.8,237.0,232.8,1.134,50.0,6184.06,855.67,80.0,3.606,3.58,2.83,0.0,0.001,0.001,0.029,10.83375
2022-09-04T09:27:51.366794,3.608,1.728,0.0,7172.6,1.48,241.6,237.6,232.3,1.137,50.0,6184.08,855.67,80.0,3.608,3.58,2.83,0.0,0.002,0.001,0.029,10.83375
2022-09-04T09:28:21.917328,3.616,1.728,0.0,7172.6,1.48,241.3,238.1,231.8,1.142,49.99,6184.08,855.67,80.0,3.616,3.74,2.83,0.0,0.001,0.001,0.029,10.83375
2022-09-04T09:28:52.537210,3.625,1.728,0.0,7172.6,1.48,241.0,237.3,231.1,1.143,50.0,6184.1,855.67,80.0,3.625,3.74,2.83,0.0,0.001,0.001,0.029,10.83375
2022-09-04T09:29:23.128405,3.634,1.728,0.0,7172.6,1.48,241.3,237.3,232.3,1.145,50.0,6184.1,855.67,80.0,3.634,3.74,2.83,0.0,0.001,0.001,0.029,10.83375
